Year,Leading Cause,Sex,Race Ethnicity,Deaths,Death Rate,Age Adjusted Death Rate
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1382,123.1,227.9
2009,Chronic Lower Respiratory Diseases (J40-J47),M,Hispanic,111,9.9,18.3
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,554,108.5,158.8
2008,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,134,15.8,20.9
2010,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,Other Race/ Ethnicity,.,.,.
2014,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,164,13.7,16.7
2010,Diabetes Mellitus (E10-E14),F,Hispanic,219,18,21.5
2010,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,.,.,.
2012,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,76,14.1,18
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Hispanic,1316,108.1,133.2
2009,Malignant Neoplasms (Cancer: C00-C97),M,Black Non-Hispanic,1557,183.4,228.8
2009,Influenza (Flu) and Pneumonia (J09-J18),F,Hispanic,216,18,22.8
2013,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Asian and Pacific Islander,63,11.4,12.8
2013,All Other Causes,F,Black Non-Hispanic,1557,149.1,129.5
2010,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,153,11.4,9.4
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,452,85.5,117.8
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,5503,410,342.3
2008,Malignant Neoplasms (Cancer: C00-C97),F,Other Race/ Ethnicity,21,.,.
2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,271,20.2,18.4
2009,Chronic Lower Respiratory Diseases (J40-J47),F,Not Stated/Unknown,7,.,.
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Other Race/ Ethnicity,.,.,.
2011,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,184,13,8.2
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1327,121.7,238.4
2007,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,White Non-Hispanic,187,14,12.7
2008,Malignant Neoplasms (Cancer: C00-C97),F,Black Non-Hispanic,1756,167.6,156.3
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,94,.,.
2010,Cerebrovascular Disease (Stroke: I60-I69),M,Other Race/ Ethnicity,.,.,.
2010,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Not Stated/Unknown,6,.,.
2010,Alzheimer's Disease (G30),F,Hispanic,71,5.8,7.5
2011,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,410,39.2,34.7
2014,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,180,12.7,6.7
2010,Diabetes Mellitus (E10-E14),M,Hispanic,187,16.4,27.3
2014,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,White Non-Hispanic,314,23.4,21.4
2014,"Essential Hypertension and Renal Diseases (I10, I12)",F,Asian and Pacific Islander,29,4.6,5.1
2007,Septicemia (A40-A41),F,Black Non-Hispanic,89,8.5,8.1
2014,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,White Non-Hispanic,204,15.2,13.4
2012,Cerebrovascular Disease (Stroke: I60-I69),M,Other Race/ Ethnicity,7,.,.
2014,Influenza (Flu) and Pneumonia (J09-J18),F,Hispanic,218,17.2,18.8
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,43,.,.
2014,All Other Causes,F,Other Race/ Ethnicity,59,.,.
2013,Diabetes Mellitus (E10-E14),M,Other Race/ Ethnicity,17,.,.
2014,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,165,13.8,20.4
2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,222,20.1,22.7
2011,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Not Stated/Unknown,5,.,.
2010,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,140,12.3,21.4
2009,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,White Non-Hispanic,75,5.2,5.1
2012,"Essential Hypertension and Renal Diseases (I10, I12)",F,Asian and Pacific Islander,39,6.7,7.8
2008,Insitu or Benign / Uncertain Neoplasms (D00-D48),F,Not Stated/Unknown,5,.,.
2010,Cerebrovascular Disease (Stroke: I60-I69),F,Other Race/ Ethnicity,.,.,.
2011,Tuberculosis (A16-A19),F,Not Stated/Unknown,.,.,.
2010,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,White Non-Hispanic,182,13.6,12.3
2013,Influenza (Flu) and Pneumonia (J09-J18),F,Not Stated/Unknown,18,.,.
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Other Race/ Ethnicity,63,.,.
2007,Certain Conditions originating in the Perinatal Period (P00-P96),F,Not Stated/Unknown,.,.,.
2011,Certain Conditions originating in the Perinatal Period (P00-P96),M,Asian and Pacific Islander,19,3.6,4.2
2008,Diabetes Mellitus (E10-E14),M,Other Race/ Ethnicity,.,.,.
2010,"Essential Hypertension and Renal Diseases (I10, I12)",M,Asian and Pacific Islander,30,5.8,8.7
2013,Influenza (Flu) and Pneumonia (J09-J18),F,Black Non-Hispanic,285,27.3,22.5
2007,Chronic Lower Respiratory Diseases (J40-J47),F,Not Stated/Unknown,6,.,.
2012,Chronic Lower Respiratory Diseases (J40-J47),M,Not Stated/Unknown,11,.,.
2007,All Other Causes,F,Black Non-Hispanic,1230,116.8,113.4
2013,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Asian and Pacific Islander,35,5.8,6.3
2009,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,8,.,.
2011,"Assault (Homicide: Y87.1, X85-Y09)",M,Other Race/ Ethnicity,.,.,.
2009,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Black Non-Hispanic,134,15.8,16.8
2011,Malignant Neoplasms (Cancer: C00-C97),F,White Non-Hispanic,3371,238,161.1
2011,Certain Conditions originating in the Perinatal Period (P00-P96),M,Other Race/ Ethnicity,.,.,.
2010,Influenza (Flu) and Pneumonia (J09-J18),F,Not Stated/Unknown,.,.,.
2011,Alzheimer's Disease (G30),F,White Non-Hispanic,231,16.3,7.2
2007,Alzheimer's Disease (G30),F,Not Stated/Unknown,.,.,.
2010,Insitu or Benign / Uncertain Neoplasms (D00-D48),F,Not Stated/Unknown,.,.,.
2013,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,148,17.2,20.9
2013,Diabetes Mellitus (E10-E14),F,Hispanic,221,17.7,19.6
2009,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,155,12.9,16
2009,Atherosclerosis (I70),F,Other Race/ Ethnicity,.,.,.
2011,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,307,36,43.9
2011,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,83,6.8,8.1
2009,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Asian and Pacific Islander,35,6.9,6.7
2012,Certain Conditions originating in the Perinatal Period (P00-P96),M,Not Stated/Unknown,17,.,.
2014,"Essential Hypertension and Renal Diseases (I10, I12)",F,Black Non-Hispanic,207,19.7,15.9
2011,"Essential Hypertension and Renal Diseases (I10, I12)",F,Not Stated/Unknown,.,.,.
2009,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Hispanic,170,15.1,17.9
2007,All Other Causes,F,Other Race/ Ethnicity,15,.,.
2011,Certain Conditions originating in the Perinatal Period (P00-P96),F,Not Stated/Unknown,14,.,.
2007,"Assault (Homicide: Y87.1, X85-Y09)",M,Hispanic,114,10.5,9.9
2007,Insitu or Benign / Uncertain Neoplasms (D00-D48),F,Not Stated/Unknown,.,.,.
2014,All Other Causes,M,Asian and Pacific Islander,424,73.9,90.4
2009,Septicemia (A40-A41),F,Not Stated/Unknown,.,.,.
2012,Cerebrovascular Disease (Stroke: I60-I69),M,Black Non-Hispanic,170,19.9,23.3
2011,"Essential Hypertension and Renal Diseases (I10, I12)",F,Other Race/ Ethnicity,.,.,.
2011,Influenza (Flu) and Pneumonia (J09-J18),M,Other Race/ Ethnicity,7,.,.
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,1940,226.8,280.7
2011,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,444,33.3,27.8
2013,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,168,13.5,14.8
